,Facility.Name,Facility.City,Facility.State Name,Facility.State Abbreviation,Rating.Effectiveness,Procedure.Hip Knee.Cost,Rating.Mortality,Rating.Overall,Procedure.Heart Failure.Value,Rating.Timeliness,Rating.Experience,Procedure.Hip Knee.Quality,Procedure.Heart Attack.Quality,Procedure.Heart Failure.Quality,Procedure.Hip Knee.Value,Procedure.Pneumonia.Quality,Rating.Imaging,Facility.Type,Rating.Safety,Rating.Readmission,Procedure.Heart Attack.Value,Procedure.Pneumonia.Value,Procedure.Pneumonia.Cost,Procedure.Heart Attack.Cost,Procedure.Heart Failure.Cost
1241,Asante Rogue Regional Medical Center,Medford,Oregon,OR,Same,18357,Same,5,Lower,Above,Above,Average,Average,Average,Lower,Average,Same,Private,Above,Above,Lower,Lower,15659,21688,14830
1242,Mckenzie-willamette Medical Center,Springfield,Oregon,OR,Same,17999,Below,3,Lower,Below,Below,Average,Average,Worse,Lower,Average,Same,Private,Above,Above,Average,Lower,14148,23597,14871
1243,Tuality Community Hospital,Hillsboro,Oregon,OR,Same,20487,Same,4,Average,Same,Below,Average,Average,Average,Average,Average,Same,Private,Above,Above,Average,Average,15905,22747,15402
1244,Legacy Mount Hood Medical Center,Gresham,Oregon,OR,Same,17725,Same,3,Average,Above,Same,Average,Average,Average,Lower,Average,Same,Private,Below,Same,Average,Lower,15606,24081,15174
1245,Mercy Medical Center,Roseburg,Oregon,OR,Same,18206,Below,2,Lower,Above,Below,Average,Average,Average,Lower,Average,Same,Government,Above,Above,Average,Lower,14576,23319,14817
1246,Providence Newberg Medical Center,Newberg,Oregon,OR,Same,19652,,4,Lower,Same,Above,Average,Average,Average,Lower,Average,Same,Church,Same,Above,Average,Average,16107,21904,14278
1247,Providence Willamette Falls Medical Center,Oregon City,Oregon,OR,Same,20068,Same,3,Average,Same,Above,Average,Average,Average,Lower,Average,Same,Private,Same,Same,Average,Average,16382,21775,15300
1248,St Charles Bend,Bend,Oregon,OR,Below,18006,Below,4,Lower,Below,Same,Average,Average,Average,Lower,Average,Above,Private,Above,Above,Average,Average,16652,22607,15466
1249,Sky Lakes Medical Center,Klamath Falls,Oregon,OR,Below,19311,,3,Lower,Below,Same,Average,Average,Average,Lower,Average,Same,Private,Above,Above,Average,Average,16821,24666,14971
1250,"Saint Alphonsus Medical Center - Ontario, Inc",Ontario,Oregon,OR,Same,21617,Same,4,Average,Same,Same,Average,Average,Average,Average,Average,Same,Church,Above,Above,Average,Lower,15646,22848,15740
1251,Adventist Health Portland,Portland,Oregon,OR,Same,19301,Same,3,Average,Same,Above,Average,Average,Average,Lower,Average,Same,Church,Below,Above,Lower,Average,16762,20978,15895
1252,Providence Portland Medical Center,Portland,Oregon,OR,Same,18478,Same,4,Average,Same,Above,Average,Average,Average,Lower,Average,Same,Church,Above,Above,Lower,Lower,15331,20880,16110
1253,Willamette Valley Medical Center,Mcminnville,Oregon,OR,Same,18479,Same,4,Average,Above,Above,Average,Average,Average,Lower,Average,Same,Private,Above,Same,Average,Average,16789,21630,15196
1254,Providence Medford Medical Center,Medford,Oregon,OR,Same,17885,Same,4,Lower,Same,Above,Average,Average,Average,Lower,Average,Same,Church,Above,Above,Average,Lower,15544,23611,15192
1255,Providence Milwaukie Hospital,Milwaukie,Oregon,OR,Same,20023,Same,3,Average,Same,Above,Average,Average,Average,Lower,Worse,Same,Church,Same,Above,Average,Average,16243,23171,15404
1256,Legacy Meridian Park Medical Center,Tualatin,Oregon,OR,Same,18398,Same,3,Lower,Above,Above,Average,Average,Average,Lower,Average,Same,Private,Same,Above,Average,Lower,15043,23091,14607
1257,Bay Area Hospital,Coos Bay,Oregon,OR,Same,20157,Same,3,Lower,Same,Same,Average,Average,Average,Lower,Average,Above,Government,Below,Above,Average,Lower,16269,22269,14673
1258,Sacred Heart Medical Center - Riverbend,Springfield,Oregon,OR,Same,17837,Same,3,Lower,Below,Same,Average,Average,Average,Lower,Average,Above,Private,Below,Above,Average,Lower,15915,22530,15576
1259,Geisinger-community Medical Center,Scranton,Pennsylvania,PA,Same,20091,Same,2,Average,Below,Below,Average,Average,Average,Lower,Average,Below,Private,Below,Below,Average,Higher,19683,23596,17140
1260,Holy Spirit Hospital,Camp Hill,Pennsylvania,PA,Same,21655,Same,3,Higher,Below,Below,Average,Average,Average,Average,Average,Same,Private,Above,Above,Average,Higher,20215,23803,18721
1261,Geisinger Medical Center,Danville,Pennsylvania,PA,Above,21131,Below,2,Average,Below,Above,Average,Average,Average,Average,Average,Same,Private,Below,Below,Lower,Average,17552,21182,16281
1262,Saint Vincent Hospital,Erie,Pennsylvania,PA,Above,22617,Same,3,Average,Same,Same,Average,Average,Average,Average,Average,Same,Private,Same,Above,Higher,Average,18012,25631,16772
1263,Chestnut Hill Hospital,Philadelphia,Pennsylvania,PA,Same,24351,,3,Average,Same,Same,Average,Average,Average,Higher,Worse,Same,Proprietary,Above,Below,Average,Higher,18808,24409,17240
1264,Temple University Hospital,Philadelphia,Pennsylvania,PA,Same,23817,Same,2,Average,Below,Below,Average,Average,Average,Higher,Average,Below,Private,Below,Below,Average,Average,18759,25411,17553
1265,Upmc Mercy,Pittsburgh,Pennsylvania,PA,Same,25478,Same,2,Average,Same,Below,Average,Average,Average,Higher,Average,Same,Private,Above,Below,Average,Higher,20420,23720,17197
1266,Heritage Valley Beaver,Beaver,Pennsylvania,PA,Same,24609,Same,3,Higher,Below,Below,Average,Average,Average,Higher,Average,Same,Private,Above,Below,Average,Higher,19695,25097,18209
1267,Somerset Hospital,Somerset,Pennsylvania,PA,Same,21277,Same,3,Average,Above,Same,Average,Average,Average,Average,Average,Same,Private,Below,Same,Average,Average,18259,22993,17510
1268,"Washington Hospital, The",Washington,Pennsylvania,PA,Same,22518,Same,3,Higher,Same,Above,Average,Average,Average,Average,Average,Same,Private,Above,Below,Average,Average,18001,25655,17981
1269,York Hospital,York,Pennsylvania,PA,Same,23918,Above,4,Average,Below,Same,Average,Average,Average,Higher,Average,Same,Private,Above,Above,Higher,Higher,19368,25765,16428
1270,Geisinger-lewistown Hospital,Lewistown,Pennsylvania,PA,Same,24454,Same,3,Average,Same,Same,Average,Average,Average,Higher,Average,Same,Private,Above,Below,Average,Lower,16232,23724,16926
1271,St Luke's Hospital Bethlehem,Bethlehem,Pennsylvania,PA,Same,21536,Above,4,Average,Below,Same,Average,Average,Average,Average,Average,Above,Private,Above,Above,Lower,Average,17339,21343,16934
1272,Allegheny General Hospital,Pittsburgh,Pennsylvania,PA,Same,18622,Same,1,Higher,Same,Below,Average,Average,Average,Lower,Average,Same,Private,Below,Below,Average,Higher,19793,25479,19441
1273,Carlisle Regional Medical Center,Carlisle,Pennsylvania,PA,Same,20010,Same,4,Average,Below,Same,Average,Average,Average,Lower,Average,Same,Proprietary,Above,Above,Average,Average,18536,23570,17741
1274,Lancaster Regional Medical Center,Lancaster,Pennsylvania,PA,Same,22112,Same,2,Average,Below,Same,Average,Average,Average,Average,Average,Same,Proprietary,Below,Same,Average,Average,17818,23079,15080
1275,Upmc Hamot,Erie,Pennsylvania,PA,Same,24000,Below,2,Higher,Above,Below,Average,Average,Average,Higher,Average,Same,Private,Above,Below,Average,Higher,19906,24633,18207
1276,Upmc Altoona,Altoona,Pennsylvania,PA,Same,24479,Below,2,Higher,Below,Below,Average,Average,Average,Higher,Average,Same,Private,Above,Below,Higher,Higher,22092,26018,18400
1277,Brandywine Hospital,Coatesville,Pennsylvania,PA,Same,22358,Same,2,Average,Same,Below,Average,Average,Average,Average,Average,Same,Proprietary,Below,Below,Average,Average,17630,25572,17784
1278,Jeanes Hospital,Philadelphia,Pennsylvania,PA,Below,23341,Above,4,Average,Same,Same,Average,Average,Better,Average,Average,Same,Private,Same,Same,Average,Average,16806,24487,17436
1279,Delaware County Memorial Hospital,Drexel Hill,Pennsylvania,PA,Same,23063,Same,2,Higher,Below,Below,Average,Average,Average,Average,Worse,Same,Private,Above,Below,Average,Higher,20306,24719,19425
1280,St Joseph Medical Center,Reading,Pennsylvania,PA,Same,21888,Same,2,Average,Below,Below,Average,Average,Worse,Average,Average,Below,Church,Below,Above,Average,Average,17495,23274,17091
1281,Holy Redeemer Hospital And Medical Center,Meadowbrook,Pennsylvania,PA,Same,22587,Same,4,Higher,Same,Same,Average,Average,Average,Average,Average,Same,Church,Above,Above,Average,Average,17945,24709,17997
1282,Upmc St Margaret,Pittsburgh,Pennsylvania,PA,Above,22229,Above,3,Average,Above,Same,Average,Average,Average,Average,Average,Same,Private,Above,Below,Average,Average,17922,24766,17345
1283,Upmc Passavant,Pittsburgh,Pennsylvania,PA,Above,22784,Same,4,Average,Above,Same,Average,Average,Average,Average,Average,Same,Private,Above,Below,Average,Average,16813,23155,17353
1284,Conemaugh Memorial Medical Center,Johnstown,Pennsylvania,PA,Same,20969,Same,1,Average,Above,Same,Average,Average,Average,Average,Average,Same,Proprietary,Below,Below,Average,Higher,19070,22292,16735
1285,Meadville Medical Center,Meadville,Pennsylvania,PA,Same,18400,Below,3,Average,Above,Same,Average,Average,Worse,Lower,Average,Same,Private,Above,Above,Average,Average,17362,24763,16069
1286,Aria Health,Philadelphia,Pennsylvania,PA,Below,23101,,2,Average,Below,Below,Average,Average,Average,Higher,Average,Same,Private,Below,Below,Average,Higher,19259,24188,17346
1287,Bradford Regional Medical Center,Bradford,Pennsylvania,PA,Same,21252,Same,2,Average,Same,Below,Average,Average,Average,Average,Worse,Same,Private,Above,Below,Average,Average,17150,22416,16262
1288,Moses Taylor Hospital,Scranton,Pennsylvania,PA,Above,29012,Same,1,Average,Same,Below,Average,Average,Average,Higher,Average,Below,Proprietary,Below,Same,Average,Higher,19312,24907,18051
1289,Pottstown Hospital,Pottstown,Pennsylvania,PA,Below,21532,Below,1,Higher,Same,Below,Average,Average,Average,Average,Average,Below,Proprietary,Below,Below,Average,Higher,19705,24811,19818
1290,Wayne Memorial Hospital,Honesdale,,PA,Same,27393,Same,4,Average,Same,Same,Average,Average,Average,Higher,Average,Same,Private,Above,Above,Average,Average,17348,26320,16818
1291,Phoenixville Hospital,Phoenixville,Pennsylvania,PA,Same,20333,Same,3,Higher,Below,Same,Average,Average,Worse,Lower,Average,Same,Proprietary,Above,Above,Higher,Higher,18761,27895,19488
1292,Lehigh Valley Hospital,Allentown,Pennsylvania,PA,Same,20831,Same,3,Average,Below,Same,Better,Better,Average,Lower,Average,Below,Private,Below,Below,Lower,Lower,16173,22673,16091
1293,Wilkes-barre General Hospital,Wilkes-barre,Pennsylvania,PA,Above,25250,Below,1,Higher,Below,Below,Average,Average,Worse,Higher,Average,Below,Private,Below,Above,Higher,Higher,19740,25712,19721
1294,Main Line Hospital Bryn Mawr Campus,Bryn Mawr,,PA,Same,20031,Above,5,Higher,Below,Above,Average,Average,Average,Lower,Better,Same,Private,Above,Above,Higher,Higher,18904,26004,19776
1295,Monongahela Valley Hospital,Monongahela,Pennsylvania,PA,Same,22323,Same,3,Average,Above,Above,Average,Average,Average,Average,Average,Below,Private,Same,Below,Average,Average,17713,22823,15458
1296,Chambersburg Hospital,Chambersburg,,PA,Same,18771,Same,4,Average,Same,Same,Average,Average,Average,Lower,Average,Same,Private,Above,Below,Average,Average,17602,22917,15887
1297,Main Line Hospital Paoli,Paoli,Pennsylvania,PA,Same,19418,Above,5,Average,Below,Above,Average,Average,Average,Lower,Better,Same,Private,Above,Above,Average,Higher,18866,21983,17563
1298,Easton Hospital,Easton,Pennsylvania,PA,Same,23424,Above,3,Average,Above,Same,Average,Average,Better,Higher,Average,Same,Proprietary,Below,Same,Average,Higher,18987,25313,17544
1299,Acmh Hospital,Kittanning,Pennsylvania,PA,Same,25192,Same,2,Average,Above,Below,Average,Average,Average,Higher,Average,Same,Private,Same,Below,Average,Average,16992,24861,16690
1300,Upmc Presbyterian Shadyside,Pittsburgh,Pennsylvania,PA,Same,21361,Same,1,Average,Same,Same,Average,Average,Average,Average,Average,Same,Private,Below,Below,Higher,Higher,18708,26543,17538
1301,Butler Memorial Hospital,Butler,Pennsylvania,PA,Same,21673,Same,4,Average,Above,Same,Average,Average,Average,Average,Average,Same,Private,Above,Above,Average,Average,17796,24674,17666
1302,Indiana Regional Medical Center,Indiana,Pennsylvania,PA,Below,22240,Same,3,Average,Same,Same,Average,Average,Average,Average,Average,Below,Private,Above,Below,Average,Average,18441,23917,16330
1303,Thomas Jefferson University Hospital,Philadelphia,Pennsylvania,PA,Same,18490,Same,1,Average,Below,Above,Average,Average,Average,Lower,Average,Below,Private,Below,Below,Average,Average,17427,23738,15873
1304,Upmc Horizon,Greenville,Pennsylvania,PA,Same,22178,Same,3,Average,Same,Below,Average,Average,Average,Average,Average,Same,Private,Above,Below,Average,Average,17141,23662,15840
1305,Chester County Hospital,West Chester,Pennsylvania,PA,Same,20260,Above,5,Higher,Below,Above,Average,Better,Better,Lower,Average,Same,Private,Above,Above,Average,Higher,18830,22782,18027
1306,Lehigh Valley Hospital - Hazleton,Hazleton,Pennsylvania,PA,Below,27599,Above,2,Average,Same,Below,Average,Average,Average,Higher,Average,Above,Government,Below,Below,Average,Average,17292,24155,16875
1307,St Luke's Hospital-gnaden Huetten Campus,Lehighton,Pennsylvania,PA,Same,23748,Same,2,Average,Same,Below,Average,Average,Average,Average,Average,Same,Private,Below,Above,Average,Lower,15379,22755,15239
1308,Main Line Hospital Lankenau,Wynnewood,Pennsylvania,PA,Below,18971,Above,5,Higher,Below,Above,Average,Average,Better,Lower,Average,Same,Private,Above,Above,Average,Average,18364,24805,17551
1309,Sacred Heart Hospital,Allentown,Pennsylvania,PA,Same,22617,Same,4,Average,Same,Same,Average,Average,Average,Average,Average,Same,Private,Above,Above,Average,Average,18377,24334,17673
1310,Lehigh Valley Hospital - Pocono,East Stroudsburg,Pennsylvania,PA,Below,22011,Same,3,Average,Below,Same,Average,Average,Average,Average,Average,Same,Private,Above,Below,Average,Average,17108,24579,15957
1311,Doylestown Hospital,Doylestown,Pennsylvania,PA,Same,18934,Same,5,Average,Below,Above,Average,Average,Average,Lower,Average,Below,Private,Above,Same,Lower,Lower,16688,21026,16449
1312,Nazareth Hospital,Philadelphia,Pennsylvania,PA,Same,19691,Same,2,Average,Below,Below,Average,Average,Average,Lower,Average,Same,Private,Below,Above,Average,Higher,19744,24009,17157
1313,Sharon Regional Health System,Sharon,Pennsylvania,PA,Same,20874,Same,2,Average,Same,Below,Average,Average,Average,Average,Average,Same,Proprietary,Same,Below,Average,Lower,16223,22934,16545
1314,Excela Health Latrobe Hospital,Latrobe,Pennsylvania,PA,Same,23732,Same,3,Average,Same,Above,Average,Average,Average,Average,Average,Same,Private,Above,Below,Average,Average,19091,24221,16992
1315,Riddle Memorial Hospital,Media,Pennsylvania,PA,Same,19107,Same,4,Average,Below,Same,Average,Better,Average,Lower,Average,Same,Private,Below,Above,Average,Average,17270,25415,17107
1316,Pennsylvania Hospital,Philadelphia,Pennsylvania,PA,Below,23603,,2,Average,Below,Above,Worse,Average,Average,Higher,Average,Same,Private,Below,Below,Average,Lower,16058,24667,17479
1317,St Clair Hospital,Pittsburgh,Pennsylvania,PA,Same,21249,Same,5,Average,Above,Above,Average,Average,Average,Average,Average,Same,Private,Above,Above,Average,Average,18211,23627,17552
1318,Abington Memorial Hospital,Abington,Pennsylvania,PA,Same,20167,Same,2,Average,Below,Same,Average,Average,Average,Lower,Average,Same,Private,Same,Below,Average,Lower,16744,23358,16528
1319,Hanover Hospital,Hanover,Pennsylvania,PA,Same,20545,Same,4,Average,Below,Above,Average,Average,Average,Lower,Average,Same,Private,Above,Above,Higher,Higher,18484,26129,17224
1320,Regional Hospital Of Scranton,Scranton,Pennsylvania,PA,Same,25943,Below,2,Average,Below,Below,Average,Average,Average,Higher,Average,Same,Proprietary,Below,Below,Average,Average,17308,22670,16882
1321,St Mary Medical Center,Langhorne,Pennsylvania,PA,Same,18603,Same,3,Higher,Below,Above,Average,Average,Average,Lower,Average,Same,Church,Below,Above,Average,Higher,18491,23563,18479
1322,Jefferson Hospital,Jefferson Hills,Pennsylvania,PA,Same,23463,Same,3,Average,Same,Same,Average,Average,Average,Higher,Average,Same,Private,Above,Below,Average,Average,16529,25324,17618
1323,Forbes Hospital,Monroeville,Pennsylvania,PA,Same,21078,Same,2,Higher,Same,Below,Average,Average,Average,Average,Average,Same,Private,Below,Below,Average,Higher,19870,24613,18797
1324,Mount Nittany Medical Center,State College,Pennsylvania,PA,Same,20771,Same,5,Average,Same,Above,Average,Average,Average,Lower,Average,Same,Private,Above,Above,Average,Higher,18688,24122,16186
1325,Geisinger Wyoming Valley Medical Center,Wilkes Barre,Pennsylvania,PA,Same,23170,Same,4,Higher,Below,Same,Average,Average,Average,Higher,Average,Above,Private,Same,Above,Average,Higher,19012,23357,18142
1326,Hahnemann University Hospital,Philadelphia,Pennsylvania,PA,Same,26404,Same,1,Average,Below,Below,Average,Average,Average,Higher,Average,Same,Proprietary,Below,Below,Average,Higher,19902,23575,18243
1327,St Luke's Hospital - Anderson Campus,Easton,Pennsylvania,PA,Same,24150,Same,4,Average,Same,Above,Average,Average,Average,Average,Better,Above,Private,Above,Below,Average,Average,16516,24681,16419
1328,Upmc East,Monroeville,Pennsylvania,PA,Above,22587,Same,3,Average,Below,Same,Average,Average,Average,Average,Average,Same,Private,Same,Below,Average,Average,18368,24373,18078
1329,Einstein Medical Center Montgomery,East Norriton,Pennsylvania,PA,Same,22546,Same,4,Average,Below,Below,Average,Average,Average,Average,Average,Same,Private,Above,Above,Average,Average,16916,23855,17177
1330,Newport Hospital,Newport,Rhode Island,RI,Same,24347,Above,5,Average,Same,Above,Average,Average,Average,Higher,Average,Same,Private,Below,Above,Average,Average,16418,25192,15741
1331,Rhode Island Hospital,Providence,Rhode Island,RI,Same,22610,Same,2,Average,Below,Below,Average,Average,Average,Average,Average,Above,Private,Below,Below,Lower,Average,17552,20326,15875
1332,South County Hospital Inc,Wakefield,Rhode Island,RI,Same,19510,Same,5,Average,Below,Above,Average,Average,Average,Lower,Better,Same,Private,Above,Above,Average,Lower,15498,23899,15946
1333,Kent County Memorial Hospital,Warwick,Rhode Island,RI,Below,24376,Same,2,Average,Below,Below,Average,Average,Average,Higher,Average,Above,Proprietary,Below,Below,Average,Average,17926,22731,16279
1334,The Miriam Hospital,Providence,Rhode Island,RI,Same,21845,Above,4,Average,Below,Above,Average,Average,Average,Average,Better,Above,Private,Same,Below,Lower,Lower,16233,22226,16173
1335,Westerly Hospital,Westerly,Rhode Island,RI,Same,22925,Same,4,Average,Below,Same,Average,Average,Average,Average,Average,Same,Private,Above,Above,Average,Average,17786,23927,16136
1336,Piedmont Medical Center,Rock Hill,South Carolina,SC,Same,25362,Below,1,Average,Below,Below,Average,Average,Worse,Higher,Worse,Above,Proprietary,Above,Below,Average,Average,17315,22841,17323
1337,Musc Medical Center,Charleston,South Carolina,SC,Same,22084,Below,2,Average,Below,Above,Average,Average,Average,Average,Average,Same,Government,Below,Below,Average,Lower,16342,22772,15840
1338,Spartanburg Medical Center,Spartanburg,South Carolina,SC,Same,24788,Below,2,Lower,Below,Above,Worse,Average,Average,Higher,Average,Above,Government,Below,Above,Lower,Average,17176,22370,15707
1339,Ghs Oconee Memorial  Hospital,Seneca,South Carolina,SC,Same,23755,Same,4,Average,Same,Same,Average,Average,Average,Higher,Average,Same,Private,Above,Above,Average,Average,18287,22800,16240
1340,Carolina Pines Regional Medical Center,Hartsville,,SC,Same,24569,Same,2,Lower,Above,Same,Average,Average,Average,Higher,Average,Same,Proprietary,Same,Below,Average,Average,17363,22519,14844
1341,Baptist Easley Hospital,Easley,,SC,Same,24855,Same,2,Higher,Same,Same,Average,Average,Average,Higher,Average,Same,Private,Below,Below,Average,Higher,19831,24278,19160
1342,Palmetto Health Richland,Columbia,South Carolina,SC,Below,22021,Same,2,Average,Below,Same,Average,Average,Average,Average,Average,Above,Private,Below,Above,Average,Average,17775,25227,16919
1343,Tidelands Health,Georgetown,South Carolina,SC,Same,21532,Same,3,Average,Same,Below,Average,Average,Average,Average,Average,Below,Private,Above,Above,Average,Average,17637,24943,16374
1344,St Francis-downtown,Greenville,South Carolina,SC,Same,20844,,4,Higher,Below,Above,Better,Average,Average,Lower,Worse,Same,Private,Above,Above,Higher,Average,18006,26635,18383
1345,Providence Health,Columbia,South Carolina,SC,Same,22242,Same,4,Average,Below,Below,Average,Average,Average,Average,Average,Same,Proprietary,Above,Above,Lower,Average,17159,21847,15863
1346,Anmed Health,Anderson,South Carolina,SC,Below,25987,Same,3,Higher,Below,Below,Average,Average,Average,Higher,Average,Same,Private,Above,Below,Average,Higher,18831,22050,18203
1347,Kershawhealth,Camden,South Carolina,SC,Same,22991,Same,4,Average,Above,Below,Average,Average,Average,Average,Average,Same,Proprietary,Above,Above,Average,Lower,16341,24279,17777
1348,Conway Medical Center,Conway,South Carolina,SC,Same,18229,Same,4,Lower,Same,Same,Average,Average,Average,Lower,Average,Same,Private,Above,Above,Average,Average,16576,24801,14640
1349,Trmc Of Orangeburg & Calhoun,Orangeburg,South Carolina,SC,Same,26079,Same,1,Lower,Below,Below,Average,Average,Average,Higher,Worse,Same,Government,Below,Below,Average,Average,17788,22565,15165
1350,Palmetto Health Tuomey Hospital,Sumter,South Carolina,SC,Same,19450,Same,2,Average,Below,Same,Average,Average,Average,Lower,Average,Below,Private,Below,Below,Average,Average,16792,23796,15946
1351,Self Regional Healthcare,Greenwood,South Carolina,SC,Below,23054,Same,4,Average,Same,Same,Average,Average,Average,Higher,Average,Same,Private,Above,Above,Average,Average,17646,23692,16233
1352,Lexington Medical Center,West Columbia,South Carolina,SC,Same,22635,Same,3,Higher,Below,Above,Average,Average,Average,Average,Average,Above,Government,Below,Above,Average,Average,17085,23373,17938
1353,Trident Medical Center,Charleston,South Carolina,SC,Above,22064,Below,1,Average,Same,Below,Average,Average,Worse,Average,Average,Same,Proprietary,Above,Below,Higher,Average,17586,26227,17148
1354,Hilton Head Regional Medical Center,Hilton Head Island,South Carolina,SC,Same,19777,Below,2,Average,Below,Below,Average,Average,Average,Lower,Average,Below,Proprietary,Same,Same,Higher,Lower,15251,27658,16857
1355,Aiken Regional Medical Center,Aiken,South Carolina,SC,Same,24097,Same,2,Average,Same,Below,Worse,Average,Average,Higher,Average,Same,Proprietary,Below,Above,Average,Average,17701,24550,15754
1356,Mary Black Health System Spartanburg,Spartanburg,South Carolina,SC,Same,25448,Same,3,Average,Same,Same,Average,Average,Average,Higher,Average,Same,Proprietary,Same,Same,Average,Average,17919,23556,17112
1357,Grand Strand Regional Medical Center,Myrtle Beach,South Carolina,SC,Above,20190,Same,3,Lower,Above,Below,Worse,Average,Better,Lower,Average,Above,Proprietary,Above,Below,Average,Average,17264,24848,15352
1358,Palmetto Health Baptist,Columbia,South Carolina,SC,Same,20314,Same,3,Average,Below,Same,Average,Average,Average,Lower,Average,Above,Private,Same,Same,Average,Average,17011,21336,17181
1359,Roper Hospital,Charleston,South Carolina,SC,Same,19930,Same,5,Higher,Above,Above,Average,Average,Average,Lower,Average,Same,Private,Above,Above,Higher,Average,17847,26486,17523
1360,Carolinas Hospital System,Florence,South Carolina,SC,Same,19707,Above,2,Lower,Above,Same,Average,Average,Better,Lower,Average,Same,Proprietary,Below,Below,Average,Average,16710,22894,15551
1361,Tidelands Waccamaw Community Hospital,Murrells Inlet,South Carolina,SC,Above,19059,Same,5,Average,Same,Above,Average,Average,Average,Lower,Average,Below,Private,Above,Above,Average,Average,17466,24445,15739
1362,Mcleod Loris  Hospital,Loris,South Carolina,SC,Same,20145,Same,4,Average,Above,Above,Average,Average,Average,Lower,Average,Above,Private,Same,Above,Average,Average,17487,24674,17390
1363,Prairie Lakes Hospital,Watertown,South Dakota,SD,Same,23367,Same,3,Average,Above,Below,Average,Average,Average,Higher,Average,Below,Private,Same,Below,Average,Lower,15374,23128,16358
1364,Avera Sacred Heart Hospital,Yankton,South Dakota,SD,Above,21007,Same,3,Average,Above,Same,Average,Average,Average,Lower,Average,Same,Private,Above,Above,Average,Lower,16143,21992,16430
1365,Avera St Lukes,Aberdeen,South Dakota,SD,Same,22784,Same,4,Average,Above,Same,Average,Average,Average,Average,Average,Same,Church,Same,Above,Average,Average,17793,23384,16338
1366,Avera Mckennan Hospital & University Health Center,Sioux Falls,South Dakota,SD,Same,21558,Same,3,Lower,Above,Same,Average,Average,Average,Average,Average,Below,Private,Below,Above,Average,Average,17076,21603,15157
1367,Sanford Usd Medical Center,Sioux Falls,South Dakota,SD,Same,19476,Same,4,Higher,Same,Above,Average,Average,Average,Lower,Average,Above,Private,Above,Above,Average,Higher,18589,23518,18357
1368,Regional Health Rapid City Hospital,Rapid City,South Dakota,SD,Same,23867,Same,3,Average,Same,Below,Average,Average,Average,Higher,Average,Same,Private,Below,Above,Average,Average,17469,24911,16701
1369,Sanford Aberdeen Medical Center,Aberdeen,South Dakota,SD,Same,23332,Same,5,Average,Above,Above,Average,Average,Average,Average,Average,Same,Private,Above,Above,Average,Lower,15862,25101,15630
1370,Jackson-madison County General Hospital,Jackson,Tennessee,TN,Same,24661,Below,1,Average,Same,Above,Average,Average,Worse,Higher,Worse,Same,Government,Below,Below,Average,Higher,18616,23694,16951
1371,Sumner Regional Medical Center,Gallatin,,TN,Above,18998,Same,2,Average,Above,Same,Average,Average,Average,Lower,Worse,Same,Proprietary,Above,Below,Average,Average,18106,24819,16505
1372,Tristar Skyline Medical Center,Nashville,Tennessee,TN,Same,19931,Below,2,Average,Same,Below,Average,Average,Average,Lower,Average,Same,Private,Same,Below,Average,Higher,19504,22873,15893
1373,Cumberland Medical Center,Crossville,Tennessee,TN,Same,20033,Same,3,Average,Below,Same,Average,Average,Average,Lower,Average,Below,Private,Above,Below,Average,Average,17047,24120,15739
1374,Blount Memorial Hospital,Maryville,Tennessee,TN,Same,19706,Same,2,Lower,Same,Below,Average,Average,Average,Lower,Average,Above,Government,Below,Below,Lower,Average,17474,20861,15485
1375,Bristol Regional Medical Center,Bristol,Tennessee,TN,Below,21772,Same,1,Average,Same,Same,Average,Average,Average,Average,Average,Same,Government,Below,Below,Average,Average,16838,22841,16251
1376,University Of Tn Medical Center (the),Knoxville,,TN,Same,18881,Same,2,Average,Below,Above,Average,Average,Average,Lower,Average,Same,Private,Below,Above,Average,Higher,18741,23796,17327
1377,Holston Valley Medical Center,Kingsport,Tennessee,TN,Same,19097,Same,2,Average,Below,Same,Average,Average,Average,Lower,Average,Below,Private,Below,Below,Lower,Higher,18334,20214,16568
1378,Sycamore Shoals Hospital,Elizabethton,Tennessee,TN,Same,25076,Same,3,Average,Above,Same,Average,Average,Average,Higher,Average,Same,Private,Same,Below,Average,Average,18316,23185,16778
1379,"Laughlin Memorial Hospital, Inc",Greeneville,Tennessee,TN,Same,19279,Below,2,Average,Above,Same,Average,Average,Average,Lower,Worse,Same,Private,Same,Below,Average,Average,17002,22487,15370
1380,Williamson Medical Center,Franklin,Tennessee,TN,Same,21335,Same,5,Average,Above,Above,Average,Average,Average,Lower,Average,Same,Government,Above,Above,Average,Lower,16148,23353,16211
1381,Morristown Hamblen Hospital Association,Morristown,Tennessee,TN,Same,21984,Same,2,Average,Below,Same,Average,Average,Average,Average,Average,Same,Government,Above,Below,Lower,Average,17532,21298,15670
1382,Methodist Medical Center Of Oak Ridge,Oak Ridge,Tennessee,TN,Same,20133,Same,1,Average,Same,Above,Average,Average,Average,Lower,Average,Above,Private,Below,Below,Average,Average,16983,23006,16120
1383,Tennova Healthcare-clarksville,Clarksville,Tennessee,TN,Same,19179,Below,2,Average,Same,Below,Average,Average,Average,Lower,Worse,Same,Government,Above,Above,Average,Higher,18458,24225,17042
1384,Vanderbilt University Medical Center,Nashville,Tennessee,TN,Same,21278,Same,3,Average,Below,Above,Average,Average,Average,Average,Average,Above,Private,Above,Below,Average,Average,17738,23510,17227
